id_categoria_caixa;descricao
1;COMBUSTIVEL
2;INVESTIMENTOS
4;ADUBO- SOLO
5;AGRONOMO
6;BORRACHARIA
7;CALCARIO / GESSO
9;CONTADOR
10;ENERGIA ELETRICA
11;ESTERCO+FRETE
12;FERRAMENTAS E UTENCILIOS
13;FGTS
14;IMPOSTOS
15;INSS / GPS
16;IPVA
17;MAO OBRA COLHEITA
18;SALARIOS
19;MAO OBRA ADMINISTRADOR
20;MATERIAL CONTRUCAO/REFORMA
21;TELEFONE/INTERNET
22;FRETE / TRANSPORTE
23;FERIAS
24;ARMAZENAGEM
25;CAFE
26;DESBROTA
27;DESPESAS GERAIS
28;MANUTENÇAO MAQUINARIOS/IMPLEMENTOS/MECANICA
29;SEGUROS
30;TARIFAS BANCARIAS
31;ADUBO-FOLIAR
32;INSUMOS AGRÍCOLAS
33;TRATOR MF 275 TRAÇADO
34;TRATOR LS  R60
35;TRATOR MF 4275
36;TRATOR VALTRA BF 75 TRAÇADO
37;OLEO DIESEL MÁQUINAS-SANTANA PETRÓLEO
38;GUARDA/VIGILÂNCIA
39;LIMPEZA/MANUTENÇÃO HORTA
40;DESPESA ALIMENTAÇÃO
41;MANUTENÇÃO STRADA HUGO
42;HORAS EXTRAS FUNCIONÁRIOS
43;ALUGUEL DE MÁQUINA
44;TRANSFERENCIA
45;MOV. DE CONTAS
46;13°SALÁRIO INTEGRAL
47;DEFENSÍVO/HERBICIDA
48;DIVERSOS ITENS
49;APORTE CAPITAL
50;MILHO
51;TÁRIFA E TAXAS BANCARIAS
52;COMISSÃO SAFRA
53;PAGAMENTO PRESTAÇÃO DE SERVIÇO
54;SAQUE
55;ENTRADA SAQUE
56;FINAME / FINANCIAMENTO BNDES
57;RESCISÃO
58;REVISÃO/CONSERTO COLHEITA. E TRATORES
59;REVISÃO/CONSERTO MIAC - VARREDEIRA
60;ENTRADA COOPARTICIPAÇÃO BENEFICIO COOXUPE
61;EMPRESTIMO
62;COLHEITA MANUAL
63;SUPERMERCADO
64;SERRALHEIRO
65;ICMS
66;CONSULTORIA CERTIFICAÇÃO AGROGENIUS
67;INSETICIDA
68;RETIRADA APORTE CAPITAL
69;DOCUMENTAÇÃO
70;SISTEMA
71;RETIRADA LUCRO SOCIO
72;APLICAÇÃO RENDA FIXA
73;MUDAS
74;COMPRA LAVADOR E SECADOR
75;COMPRA MAQUINÁRIO LAVADOR
76;COMPRA RECOLHEDORA
77;SISTEMA FAZENDA
